Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
1622538,2/5/26 9:14:19,0.000,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.414,μmol/L,25.434,°C,1018.000,hPa,Humid,35,0,,0,23.050,70151,238042.45,17.50,52.76,#N/A
1622546,2/5/26 9:14:22,0.045,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.209,μmol/L,25.451,°C,1018.000,hPa,Humid,35,0,,0,23.056,70149,238043.21,17.50,52.76,#N/A
1622554,2/5/26 9:14:25,0.095,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.046,μmol/L,25.451,°C,1018.000,hPa,Humid,35,0,,0,23.066,70155,238052.37,17.50,52.76,#N/A
1622566,2/5/26 9:14:28,0.145,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.080,μmol/L,25.448,°C,1018.000,hPa,Humid,35,0,,0,23.065,70155,238030.23,17.50,52.76,#N/A
1622576,2/5/26 9:14:31,0.196,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.077,μmol/L,25.429,°C,1018.000,hPa,Humid,35,0,,0,23.072,70164,238019.85,17.50,52.76,#N/A
1622588,2/5/26 9:14:34,0.246,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.009,μmol/L,25.446,°C,1018.000,hPa,Humid,35,0,,0,23.070,70164,238024.95,17.50,52.76,#N/A
1622594,2/5/26 9:14:37,0.295,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.014,μmol/L,25.445,°C,1018.000,hPa,Humid,35,0,,0,23.070,70171,238023.58,17.50,52.76,#N/A
1622604,2/5/26 9:14:40,0.345,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.975,μmol/L,25.451,°C,1018.000,hPa,Humid,35,0,,0,23.070,70174,238017.94,17.50,52.76,#N/A
1622616,2/5/26 9:14:43,0.395,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.842,μmol/L,25.457,°C,1018.000,hPa,Humid,35,0,,0,23.076,70178,238006.72,17.50,52.76,#N/A
1622626,2/5/26 9:14:46,0.446,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.950,μmol/L,25.439,°C,1018.000,hPa,Humid,35,0,,0,23.076,70175,237999.63,17.50,52.76,#N/A
1622634,2/5/26 9:14:49,0.495,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.865,μmol/L,25.442,°C,1018.000,hPa,Humid,35,0,,0,23.080,70184,237990.51,17.50,52.76,#N/A
1622644,2/5/26 9:14:52,0.545,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.794,μmol/L,25.445,°C,1018.000,hPa,Humid,35,0,,0,23.083,70193,237989.30,17.50,52.76,#N/A
1622656,2/5/26 9:14:55,0.595,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.865,μmol/L,25.436,°C,1018.000,hPa,Humid,35,0,,0,23.082,70190,237975.14,17.50,52.76,#N/A
1622668,2/5/26 9:14:58,0.645,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.690,μmol/L,25.451,°C,1018.000,hPa,Humid,35,0,,0,23.087,70195,237974.40,17.50,52.76,#N/A
1622677,2/5/26 9:15:02,0.720,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.707,μmol/L,25.446,°C,1018.000,hPa,Humid,35,0,,0,23.088,70198,237973.28,17.50,52.76,#N/A
1622685,2/5/26 9:15:04,0.746,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.734,μmol/L,25.450,°C,1018.000,hPa,Humid,35,0,,0,23.085,70192,237944.19,17.50,52.76,#N/A
1622694,2/5/26 9:15:07,0.795,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.653,μmol/L,25.452,°C,1018.000,hPa,Humid,35,0,,0,23.089,70193,237946.01,17.50,52.76,#N/A
1622708,2/5/26 9:15:10,0.845,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.605,μmol/L,25.452,°C,1018.000,hPa,Humid,35,0,,0,23.092,70204,237940.14,17.50,52.76,#N/A
1622714,2/5/26 9:15:13,0.898,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.705,μmol/L,25.443,°C,1018.000,hPa,Humid,35,0,,0,23.089,70201,237935.94,17.50,52.76,#N/A
1622726,2/5/26 9:15:16,0.946,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.738,μmol/L,25.435,°C,1018.000,hPa,Humid,35,0,,0,23.090,70206,237929.62,17.50,52.76,#N/A
1622734,2/5/26 9:15:19,0.995,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.563,μmol/L,25.450,°C,1018.000,hPa,Humid,35,0,,0,23.095,70204,237927.75,17.50,52.76,#N/A
1622744,2/5/26 9:15:22,1.045,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.606,μmol/L,25.440,°C,1018.000,hPa,Humid,35,0,,0,23.096,70199,237920.37,17.50,52.76,#N/A
1622756,2/5/26 9:15:25,1.095,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.577,μmol/L,25.442,°C,1018.000,hPa,Humid,35,0,,0,23.097,70200,237908.81,17.50,52.76,#N/A
1622765,2/5/26 9:15:28,1.145,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.609,μmol/L,25.434,°C,1018.000,hPa,Humid,35,0,,0,23.098,70198,237908.32,17.50,52.76,#N/A
1622775,2/5/26 9:15:31,1.196,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.535,μmol/L,25.435,°C,1018.000,hPa,Humid,35,0,,0,23.102,70206,237911.12,17.50,52.76,#N/A
1622787,2/5/26 9:15:34,1.245,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.520,μmol/L,25.435,°C,1018.000,hPa,Humid,35,0,,0,23.103,70211,237906.20,17.50,52.76,#N/A
1622796,2/5/26 9:15:37,1.295,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.515,μmol/L,25.442,°C,1018.000,hPa,Humid,35,0,,0,23.101,70203,237897.68,17.50,52.76,#N/A
1622806,2/5/26 9:15:40,1.345,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.393,μmol/L,25.451,°C,1018.000,hPa,Humid,35,0,,0,23.105,70210,237890.17,17.50,52.76,#N/A
