Current Date: 11-Jun-2026
Instrument Serial Number: 8470050168
Software Name: InCyte
Version Number: 3.4


  Well ,  Sample ID ,  Date , R1.Percent Percent for R1  (%) , R1.Concentration Concentration for R1  (cells/mL) , SINGLETS.Percent Percent for SINGLETS  (%) , SINGLETS.Concentration Concentration for SINGLETS  (cells/mL) , NEGATIVE .Percent Percent for NEGATIVE   (%) , CHLOROPHYLL POS.Percent Percent for CHLOROPHYLL POS  (%) , CHLOROPHYLL POS.Concentration Concentration for CHLOROPHYLL POS  (cells/mL) ,
 A01, A01, 06.11.2026, 71.56, 298079.3179217, 65.6, 273253.259581659, 28.64, 71.36, 297246.228715658,
 A02, A02, 06.11.2026, 78.46, 712905.340203781, 76.72, 697095.305893883, 21.6, 78.4, 712360.166606888,
 A03, A03, 06.11.2026, 43.74, 503440.390447882, 42.32, 487096.418009931, 56.48, 43.52, 500908.225703974,
 A04, A04, 06.11.2026, 35.44, 285447.17393936, 34.5, 277876.058152029, 64.84, 35.16, 283191.947960155,
 B01, B01, 06.11.2026, 64.5, 318323.382768639, 59.22, 292265.282597811, 35.6, 64.4, 317829.858144191,
 B02, B02, 06.11.2026, 77.74, 652759.251619018, 76.32, 640835.941388776, 22.3, 77.7, 652423.383725208,
 B03, B03, 06.11.2026, 44.82, 472943.159436513, 43.2, 455848.828372543, 55.4, 44.6, 470621.707069801,
 B04, B04, 06.11.2026, 34.42, 282605.374477159, 33.06, 271439.095880734, 65.9, 34.1, 279978.014807412,
 C01, C01, 06.11.2026, 50.84, 322801.103319173, 46.62, 296006.83392486, 49.4, 50.6, 321277.258614283,
 C02, C02, 06.11.2026, 77.3, 642636.803238012, 75.36, 626508.531591418, 22.78, 77.22, 641971.719871143,
 C03, C03, 06.11.2026, 43.62, 451399.485461884, 41.78, 432358.333392882, 56.58, 43.42, 449329.795019602,
 C04, C04, 06.11.2026, 32.42, 266927.86695384, 31.06, 255730.399370335, 67.98, 32.02, 263634.494135162,
